id,year,month,date_start,lst_mean,lst_min,lst_max,lst_stddev
1,2025,1,2025-01-01,23.116351130054493,13.610000000000014,28.480000000000032,2.1681073579677204
2,2025,2,2025-02-01,25.76190353117857,9.203333333333356,32.33000000000004,2.5052518612160073
3,2025,3,2025-03-01,34.57772036482364,23.650000000000034,40.645000000000024,2.6293437307150875
4,2025,4,2025-04-01,40.12318868516719,27.590000000000032,45.34333333333336,1.7596883050841792
5,2025,5,2025-05-01,44.13376225760285,32.99500000000003,48.660000000000025,1.420784067561221
6,2025,6,2025-06-01,44.944354934095685,34.98333333333337,49.32000000000002,1.0020643249708383
7,2025,7,2025-07-01,45.6120832730249,33.800000000000054,50.51500000000004,1.0397003688279756
8,2025,8,2025-08-01,44.986001534566746,35.23000000000002,48.58000000000003,1.09681743484034
9,2025,9,2025-09-01,42.033532428952824,33.630000000000024,46.39500000000004,1.4428034629130235
10,2025,10,2025-10-01,36.545374325444,29.570000000000032,41.24333333333336,1.6405966588058234
11,2025,11,2025-11-01,28.71173249659922,22.80500000000002,33.60500000000003,1.4369166805425169
12,2025,12,2025-12-01,23.54921235065422,13.630000000000052,28.470000000000027,2.545807188995643
